component_1,component_2,cluster_id
0.35657153,-0.23707011,1
0.23682362,0.063873306,4
0.23141788,0.04128627,0
0.12492265,0.020226391,4
0.37876317,-0.04379455,4
0.31364205,-0.038675986,1
0.29746133,-0.091624886,1
0.316457,-0.069021665,1
0.28665844,-0.15901239,1
0.3792157,-0.093773216,1
0.34460616,-0.05013912,0
0.104780175,-0.027699424,4
0.13205376,-0.08043084,4
0.17652488,-0.04520578,1
0.48741582,-0.11144559,1
0.28896388,-0.13549791,1
0.24389984,-0.12535344,0
0.38869384,0.17125095,1
0.17957169,-0.02779176,4
0.4013851,-0.021474456,5
0.3105993,-0.0919795,1
0.19530958,-0.07474192,4
0.34590083,-0.085567914,4
0.47568133,-0.35176966,5
0.3444444,-0.22484922,1
0.50919986,-0.20252961,1
0.23309886,-0.049177036,0
0.39464957,-0.064021215,0
0.3115797,-0.009088756,0
0.3503784,-0.16039553,5
0.31910676,-0.08375309,1
0.34430054,-0.04440528,1
0.2893137,-0.1069877,0
0.37259868,-0.045093995,5
0.45512402,-0.04845144,1
0.23516868,-0.117501445,4
0.3695194,-0.14098062,1
0.3265299,-0.051860854,5
0.19229366,-0.03834379,4
0.47698426,-0.16485354,1
0.26389068,0.010391786,4
0.3021762,-0.17013499,1
0.23575625,0.06484623,4
0.40575662,-0.25927457,1
0.37599412,0.08771168,0
0.35921958,-0.17415787,1
0.10887148,-0.017264137,4
0.27846012,-0.102141306,1
0.28196746,-0.15647489,5
0.3075069,0.033783615,1
0.24994026,0.35380012,4
0.22961152,0.069426455,4
0.16067882,-0.07331563,4
0.38085327,0.019666353,0
0.19778502,-0.013435951,4
0.34080008,-0.09487343,0
0.36056763,-0.21042237,5
0.34529385,-0.054891,1
0.35385573,0.050144847,1
0.3851065,-0.07355353,3
0.35946584,-0.11862028,4
0.29035315,-0.13024704,1
0.39027444,0.011540171,1
0.30571127,-0.1052047,1
0.112359956,-0.07787738,4
0.23393798,-0.08491739,4
0.37397838,-0.02905301,4
0.40115368,-0.1389598,1
0.41814733,-0.30755857,5
0.33803284,-0.12342681,0
0.26485905,0.010328447,1
0.47929996,-0.1572822,5
0.4051463,-0.09914929,0
0.37141645,-0.14753446,1
0.34285703,-0.16845535,4
0.42592242,-0.23540498,5
0.29359534,0.08985754,4
0.30060744,0.11191597,1
0.28364685,0.07321366,4
0.39253703,-0.11418962,5
0.38205057,-0.16610195,1
0.45370322,-0.17757039,5
0.37317145,-0.14870271,0
0.261878,-0.05804184,0
0.34433547,-0.21207127,1
0.3083945,-0.08976595,1
0.3904498,0.008953062,1
0.26093772,-0.1327828,0
0.28319013,0.13091631,4
0.3866418,0.17019705,4
0.24837683,-0.08422575,0
0.2695061,-0.043659862,0
0.47069675,0.13191624,1
0.32897967,-0.019923292,5
0.27929524,-0.10790092,1
0.2962543,-0.099116184,0
0.189882,0.03158424,4
0.32818016,-0.050986454,4
0.20748551,0.21908946,4
0.28583646,-0.0521323,0
0.47343132,-0.13310099,1
0.31103346,0.1264058,4
0.44175616,-0.14719035,1
0.34472016,-0.12314548,0
0.3918366,-0.061934013,4
0.38140625,-0.19243737,1
0.41672772,0.003262866,1
0.37811416,-0.16583061,0
0.23295014,-0.051066212,4
0.31857717,-0.020997196,1
0.36150083,0.017312432,4
0.349428,-0.02399634,0
0.47255123,0.022604745,1
0.42598176,0.21021834,4
0.17827556,0.028687457,4
0.46398136,-0.004776239,0
0.30530444,-0.067789495,0
0.34904996,-0.08097953,1
0.34538776,0.022448681,1
0.5214225,-0.19221935,1
0.50055873,-0.013354446,1
0.28825974,-0.11060797,5
0.36776015,-0.06513628,0
0.5926568,-0.3354126,5
0.33854377,-0.0747945,1
0.3625163,-0.090807095,0
0.42309216,-0.25693864,0
0.40137744,-0.25429744,1
0.5080615,-0.17339312,1
0.3162333,-0.105477095,0
0.3335986,-0.25702778,1
0.18858232,0.21310116,4
0.49976218,-0.18669197,1
0.41731268,0.03245948,4
0.38372174,-0.11437913,1
0.5035987,-0.013010555,1
0.31791222,-0.079551086,0
0.250734,-0.046635635,4
0.34209427,-0.14756536,1
0.5277752,-0.05900662,5
0.30493617,-0.2345255,1
0.38337168,0.07146721,1
0.31629494,-0.12680626,5
0.36779383,-0.006408867,1
0.5098537,-0.062850825,4
0.30834305,0.081012964,4
0.341825,-0.119392596,0
0.507455,-0.32099003,5
0.33729243,-0.14657477,0
0.4104744,-0.06432925,4
0.23012526,-0.011234421,0
0.30389258,-0.056384254,0
0.37300327,-0.13254958,5
0.31455982,-0.065773144,0
0.1803313,-0.076725975,0
0.15500243,-0.023170212,1
0.4383095,0.15973268,1
0.21864925,-0.0031186617,1
0.3513728,-0.047015864,1
0.26617396,-0.027211867,1
0.26682875,0.079912685,3
0.45421016,-0.2620989,1
0.49263173,-0.13518994,1
0.40122247,-0.15816,4
0.4376348,-0.083295576,5
0.23978086,-0.14440706,0
0.4696445,-0.009211051,1
0.3842342,-0.17133163,1
0.3626387,-0.1265749,5
